No.,Player,Team,Mat,Inns,NO,Runs,HS,Bat_Ave,BF,SR,hundreds,fifties,duck,fours,sixes
94,RR Pant,(Delhi Capitals),14,14,3,343,56,31.18,301,113.95,0,1,0,31,9
125,RG Sharma,(Mumbai Indians),12,12,0,332,80,27.66,260,127.69,0,3,1,27,19
18,JC Buttler,(Rajasthan Royals),13,12,2,328,70*,32.8,227,144.49,0,2,0,27,16
147,KS Williamson,(Sunrisers Hyderabad),12,11,4,317,67,45.28,237,133.75,0,3,0,26,10
130,SPD Smith,(Rajasthan Royals),14,14,2,311,69,25.91,237,131.22,0,3,0,32,9
146,SR Watson,(Chennai Super Kings),11,11,1,299,83*,29.9,247,121.05,0,2,0,33,13
41,CH Gayle,(Kings XI Punjab),7,7,0,288,99,41.14,210,137.14,0,3,0,15,23
133,BA Stokes,(Rajasthan Royals),8,8,1,285,107*,40.71,200,142.5,1,1,0,36,7
92,HH Pandya,(Mumbai Indians),14,13,5,281,60*,35.12,157,178.98,0,1,1,14,25
38,AJ Finch,(Royal Challengers Bangalore),12,12,0,268,52,22.33,241,111.2,0,1,0,28,8
100,KA Pollard,(Mumbai Indians),16,12,7,268,60*,53.6,140,191.42,0,1,1,15,22
134,R Tewatia,(Rajasthan Royals),14,11,5,255,53,42.5,183,139.34,0,1,0,13,17
55,RA Jadeja,(Chennai Super Kings),14,11,6,232,50,46.4,135,171.85,0,1,0,22,11
137,RA Tripathi,(Kolkata Knight Riders),11,11,1,230,81,23,181,127.07,0,1,0,21,10
126,PP Shaw,(Delhi Capitals),13,13,0,228,66,17.53,167,136.52,0,2,3,27,8
113,WP Saha,(Sunrisers Hyderabad),4,4,1,214,87,71.33,153,139.86,0,2,0,24,5
39,RD Gaikwad,(Chennai Super Kings),6,6,2,204,72,51,169,120.71,0,3,2,16,6
33,MS Dhoni,(Chennai Super Kings),14,12,4,200,47*,25,172,116.27,0,0,0,16,7
141,RV Uthappa,(Rajasthan Royals),12,12,0,196,41,16.33,164,119.51,0,0,0,19,7
27,SM Curran,(Chennai Super Kings),14,11,3,186,52,23.25,141,131.91,0,1,2,12,12
49,SO Hetmyer,(Delhi Capitals),12,11,3,185,45,23.12,125,148,0,0,0,11,12
60,KD Karthik,(Kolkata Knight Riders),14,14,2,169,58,14.08,134,126.11,0,1,3,20,4
26,PJ Cummins,(Kolkata Knight Riders),14,11,4,146,53*,20.85,114,128.07,0,1,0,9,8
40,PK Garg,(Sunrisers Hyderabad),14,10,1,133,51*,14.77,111,119.81,0,1,1,9,4
69,Mandeep Singh,(Kings XI Punjab),7,7,1,130,66*,21.66,109,119.26,0,1,2,10,4
35,S Dube,(Royal Challengers Bangalore),11,9,2,129,27*,18.42,105,122.85,0,0,0,5,9
85,SP Narine,(Kolkata Knight Riders),10,9,0,121,64,13.44,85,142.35,0,1,2,10,8
96,AR Patel,(Delhi Capitals),15,9,1,117,42,14.62,85,137.64,0,0,0,6,8
112,AD Russell,(Kolkata Knight Riders),10,9,0,117,25,13,81,144.44,0,0,0,9,9
7,JC Archer,(Rajasthan Royals),14,10,4,113,27*,18.83,63,179.36,0,0,0,5,10
105,AM Rahane,(Delhi Capitals),9,8,0,113,60,14.12,107,105.6,0,1,2,12,2
2,Abdul Samad,(Sunrisers Hyderabad),12,8,3,111,33,22.2,65,170.76,0,0,0,8,6
145,Washington Sundar,(Royal Challengers Bangalore),15,9,3,111,30,18.5,95,116.84,0,0,0,10,2
93,KH Pandya,(Mumbai Indians),16,12,6,109,34,18.16,92,118.47,0,0,1,9,5
71,GJ Maxwell,(Kings XI Punjab),13,11,4,108,32,15.42,106,101.88,0,0,1,9,0
136,SS Tiwary,(Mumbai Indians),7,5,0,103,42,20.6,80,128.75,0,0,0,8,3
51,DJ Hooda,(Kings XI Punjab),7,5,4,101,62*,101,71,142.25,0,1,1,5,5
121,V Shankar,(Sunrisers Hyderabad),7,5,1,97,52*,24.25,96,101.04,0,1,1,10,1
95,R Parag,(Rajasthan Royals),12,8,1,86,42*,12.28,77,111.68,0,0,2,6,3
28,TK Curran,(Rajasthan Royals),5,4,3,83,54*,83,62,133.87,0,1,0,5,3
99,JR Philippe,(Royal Challengers Bangalore),5,5,1,78,33,19.5,77,101.29,0,0,1,9,1
3,Abhishek Sharma,(Sunrisers Hyderabad),8,7,2,71,31,14.2,56,126.78,0,0,0,6,3
46,Gurkeerat Singh,(Royal Challengers Bangalore),8,5,5,71,21*,-,80,88.75,0,0,0,8,0
50,JO Holder,(Sunrisers Hyderabad),7,4,2,66,26*,33,53,124.52,0,0,0,5,3
56,KM Jadhav,(Chennai Super Kings),8,5,2,62,26,20.66,66,93.93,0,0,0,7,0
68,MK Lomror,(Rajasthan Royals),3,3,0,59,47,19.66,54,109.25,0,0,0,2,3
104,K Rabada,(Delhi Capitals),17,8,4,56,15*,14,49,114.28,0,0,1,4,2
37,LH Ferguson,(Kolkata Knight Riders),5,2,2,43,24*,-,29,148.27,0,0,0,4,1
44,K Gowtham,(Kings XI Punjab),2,2,1,42,22*,42,27,155.55,0,0,0,3,2
58,YBK Jaiswal,(Rajasthan Royals),3,3,0,40,34,13.33,44,90.9,0,0,1,2,2
10,R Ashwin,(Delhi Capitals),15,6,3,37,14*,12.33,34,108.82,0,0,0,3,1
42,S Gopal,(Rajasthan Royals),14,5,1,37,23*,9.25,39,94.87,0,0,0,3,0
109,Rashid Khan,(Sunrisers Hyderabad),16,7,3,35,14,8.75,30,116.66,0,0,1,3,2
79,CH Morris,(Royal Challengers Bangalore),9,5,1,34,25*,8.5,21,161.9,0,0,1,2,3
57,N Jagadeesan,(Chennai Super Kings),5,2,0,33,33,16.5,29,113.79,0,0,1,4,0
63,SN Khan,(Kings XI Punjab),5,3,1,33,14*,16.5,29,113.79,0,0,0,5,0
19,AT Carey,(Delhi Capitals),3,3,1,32,14*,16,29,110.34,0,0,0,0,1
143,M Vijay,(Chennai Super Kings),3,3,0,32,21,10.66,43,74.41,0,0,0,4,0
59,CJ Jordan,(Kings XI Punjab),9,5,2,29,13,9.66,31,93.54,0,0,0,2,0
115,NA Saini,(Royal Challengers Bangalore),13,3,2,27,12*,27,27,100,0,0,0,3,0
25,NM Coulter-Nile,(Mumbai Indians),7,2,1,25,24*,25,15,166.66,0,0,0,4,0
82,KL Nagarkoti,(Kolkata Knight Riders),10,6,3,22,8*,7.33,31,70.96,0,0,1,1,0
30,TU Deshpande,(Delhi Capitals),5,2,1,21,20*,21,12,175,0,0,0,2,1
97,HV Patel,(Delhi Capitals),5,2,0,21,16,10.5,24,87.5,0,0,0,2,0
87,JDS Neesham,(Kings XI Punjab),5,3,1,19,10*,9.5,18,105.55,0,0,0,0,1
13,T Banton,(Kolkata Knight Riders),2,2,0,18,10,9,20,90,0,0,0,1,1
76,Mohammed Siraj,(Royal Challengers Bangalore),9,3,2,17,10*,17,14,121.42,0,0,0,2,0
84,KK Nair,(Kings XI Punjab),4,3,1,16,15*,8,14,114.28,0,0,1,2,0
98,JL Pattinson,(Mumbai Indians),10,2,1,15,11,15,13,115.38,0,0,0,2,0
102,Prabhsimran Singh,(Kings XI Punjab),2,2,0,15,11,7.5,15,100,0,0,0,2,0
139,I Udana,(Royal Challengers Bangalore),10,4,1,15,10*,5,11,136.36,0,0,1,1,1
52,Imran Tahir,(Chennai Super Kings),3,1,1,13,13*,-,10,130,0,0,0,2,0
65,Kuldeep Yadav,(Kolkata Knight Riders),5,2,1,13,12,13,21,61.9,0,0,0,1,0
6,MM Ali,(Royal Challengers Bangalore),3,3,0,12,11,4,16,75,0,0,1,1,0
118,Sandeep Sharma,(Sunrisers Hyderabad),13,5,3,12,9,6,15,80,0,0,1,1,0
135,SN Thakur,(Chennai Super Kings),9,2,1,12,11,12,21,57.14,0,0,0,0,0
74,Mohammad Nabi,(Sunrisers Hyderabad),1,1,1,11,11*,-,8,137.5,0,0,0,2,0
129,RK Singh,(Kolkata Knight Riders),1,1,0,11,11,11,11,100,0,0,0,1,0
127,Shivam Mavi,(Kolkata Knight Riders),8,3,1,10,9,5,14,71.42,0,0,1,1,0
142,CV Varun,(Kolkata Knight Riders),13,3,1,10,7*,5,15,66.66,0,0,0,0,0
107,AS Rajpoot,(Rajasthan Royals),6,2,1,9,7*,9,10,90,0,0,0,0,1
140,JD Unadkat,(Rajasthan Royals),7,1,0,9,9,9,13,69.23,0,0,0,0,0
16,DJ Bravo,(Chennai Super Kings),6,2,0,7,7,3.5,6,116.66,0,0,1,0,0
21,DL Chahar,(Chennai Super Kings),14,3,2,7,5*,7,12,58.33,0,0,1,0,0
34,P Dubey,(Delhi Capitals),3,1,1,7,7*,-,13,53.84,0,0,0,0,0
81,S Nadeem,(Sunrisers Hyderabad),7,2,1,7,5,7,8,87.5,0,0,0,1,0
89,A Nortje,(Delhi Capitals),16,5,4,7,3*,7,6,116.66,0,0,0,0,0
110,Ravi Bishnoi,(Kings XI Punjab),14,3,2,7,6*,7,12,58.33,0,0,0,1,0
138,AJ Tye,(Rajasthan Royals),1,1,0,6,6,6,6,100,0,0,0,0,1
17,JJ Bumrah,(Mumbai Indians),15,1,1,5,5*,-,3,166.66,0,0,0,0,0
9,M Ashwin,(Kings XI Punjab),9,1,0,4,4,4,4,100,0,0,0,0,0
61,Kartik Tyagi,(Rajasthan Royals),10,3,2,4,2*,4,6,66.66,0,0,0,0,0
66,DS Kulkarni,(Mumbai Indians),1,1,1,3,3*,-,2,150,0,0,0,0,0
86,T Natarajan,(Sunrisers Hyderabad),16,3,3,3,3*,-,5,60,0,0,0,0,0
22,RD Chahar,(Mumbai Indians),15,1,1,2,2*,-,4,50,0,0,0,0,0
75,Mohammed Shami,(Kings XI Punjab),14,3,2,2,2*,2,3,66.66,0,0,1,0,0
103,M Prasidh Krishna,(Kolkata Knight Riders),6,2,2,2,2*,-,4,50,0,0,0,0,0
1,VR Aaron,(Rajasthan Royals),3,2,1,1,1,1,10,10,0,0,0,0,0
20,YS Chahal,(Royal Challengers Bangalore),15,2,1,1,1,1,3,33.33,0,0,0,0,0
80,Mujeeb Ur Rahman,(Kings XI Punjab),2,1,0,1,1,1,3,33.33,0,0,0,0,0
83,NS Naik,(Kolkata Knight Riders),1,1,0,1,1,1,3,33.33,0,0,0,0,0
114,Shahbaz Ahmed,(Royal Challengers Bangalore),2,1,1,1,1*,-,1,100,0,0,0,0,0
131,DW Steyn,(Royal Challengers Bangalore),3,1,1,1,1*,-,2,50,0,0,0,0,0
5,KK Ahmed,(Sunrisers Hyderabad),7,1,0,0,0,0,2,0,0,0,1,0,0
8,Arshdeep Singh,(Kings XI Punjab),8,1,0,0,0,0,3,0,0,0,1,0,0
15,TA Boult,(Mumbai Indians),15,1,0,0,0,0,1,0,0,0,1,0,0
24,SS Cottrell,(Kings XI Punjab),6,1,0,0,0,0,2,0,0,0,1,0,0
43,SP Goswami,(Sunrisers Hyderabad),2,2,0,0,0,0,4,0,0,0,2,0,0
67,B Kumar,(Sunrisers Hyderabad),4,1,0,0,0,0,2,0,0,0,1,0,0
70,MR Marsh,(Sunrisers Hyderabad),1,1,0,0,0,0,1,0,0,0,1,0,0
72,DA Miller,(Rajasthan Royals),1,1,0,0,0,0,0,-,0,0,1,0,0
116,DR Sams,(Delhi Capitals),3,1,0,0,0,0,2,0,0,0,1,0,0
150,UT Yadav,(Royal Challengers Bangalore),2,1,0,0,0,0,2,0,0,0,1,0,0
